ID 	 X 	 Y	
F1	21.812556864270206	-102.28986960504733	
F2	21.776798411434473	-102.25774581241384	
F3	21.772095239150726	-102.2863166131514	
F4	21.736820986237746	-102.26637861578445	
F5	21.816642888470987	-102.2768251355781	
F6	21.75529362709822	-102.28505059589972	
F7	21.750064088039885	-102.31668244835323	
F8	21.74411792435067	-102.299503441747	
F9	21.783688821625063	-102.27031259944434	
F10	21.7866408911417	-102.31075870782644	
F11	21.765700819144133	-102.30451628107735	
F12	21.74060479717168	-102.28569509686373	
F13	21.755445485301536	-102.26445519745444	
F14	21.762682721586245	-102.29735806619605	
F15	22.03266691700548	-102.26902563504807	
F16	22.030801279577144	-102.27709858692458	
F17	22.04501881584061	-102.27955016065827	
F18	22.0436487368147	-102.27837734637002	
F19	22.03446402247856	-102.28172761967947	
F20	22.029111952759425	-102.27812863330062	
