ID 	 X 	 Y	
F1	21.73056431461265	-102.27256599290499	
F2	21.76904191479589	-102.31227439302435	
F3	21.797920412498925	-102.2918251976812	
F4	21.78818059866507	-102.3047351968934	
F5	21.820573162414657	-102.32555909164239	
F6	21.792638562493956	-102.3041240396317	
F7	21.72959733586504	-102.3029296924056	
F8	21.760206595582456	-102.2741237677552	
F9	21.797013564650836	-102.32463586640272	
F10	21.836901056597473	-102.29631883518931	
F11	21.790320984536798	-102.26255944000069	
F12	22.037505788510273	-102.28153518240937	
F13	22.026940808777244	-102.28138628355809	
F14	22.02646750428217	-102.27571825915712	
F15	22.04567459541485	-102.27186895221858	
