ID 	 X 	 Y	
F1	21.794329333497345	-102.29925766264462	
F2	21.75268588573352	-102.28580337201336	
F3	21.810281615436846	-102.31451333628038	
F4	21.755969409116133	-102.29711055252682	
F5	21.75097893560332	-102.2612239671516	
F6	21.74007921749054	-102.26970001732593	
F7	21.824605796660048	-102.28323193066896	
F8	21.762553851078707	-102.26439555396077	
F9	21.7918146509573	-102.28301537412057	
F10	21.79644929503418	-102.3157870564743	
F11	21.73449575032589	-102.28081801346808	
F12	21.747091105814988	-102.25881140885181	
F13	21.824656734491246	-102.32400735358618	
F14	21.78640869803212	-102.30209083072403	
F15	22.038007602526086	-102.27907297130443	
F16	22.02634712486129	-102.27525625640747	
F17	22.044717504574034	-102.27250803243223	
F18	22.034984320650768	-102.28165551802266	
F19	22.046699934322966	-102.27870351255126	
F20	22.045806337306587	-102.27369994961633	
