ID 	 X 	 Y	
F1	21.787300162188924	-102.26649517391577	
F2	21.82511935667247	-102.30250331700096	
F3	21.81578673572179	-102.31874129084952	
F4	21.73091114102817	-102.30962946770113	
F5	21.81636724718199	-102.2894965348092	
F6	21.801545115419632	-102.26564207892598	
F7	21.797930119608765	-102.27296754286101	
F8	21.7602940794836	-102.26367398969191	
F9	21.76551080307406	-102.28587456088447	
F10	21.777214828562258	-102.26376227604644	
F11	21.82024794910263	-102.29084839775703	
F12	22.047480269512853	-102.27825293094641	
F13	22.045409313497483	-102.27063754544494	
F14	22.034438280401655	-102.28173230961592	
F15	22.026885301859597	-102.27454217184204	
