ID 	 X 	 Y	
F1	21.752024558762148	-102.26854618386952	
F2	21.785001243692765	-102.29796705748672	
F3	21.800018019217884	-102.29968512306223	
F4	21.796382242511825	-102.26511446081436	
F5	21.822758309732382	-102.29461048469211	
F6	21.790119391328965	-102.25995470667498	
F7	21.740226595395583	-102.28247812349473	
F8	21.78854286928522	-102.30901381654714	
F9	21.75543975501623	-102.30578154867725	
F10	21.746280248571747	-102.26710056753724	
F11	21.811991927071954	-102.25600336904128	
F12	21.779592714415624	-102.25720739425084	
F13	21.815104214518556	-102.2724436878951	
F14	21.780448668436296	-102.28594603405908	
F15	22.02381306803232	-102.27692800072047	
F16	22.019346474692263	-102.26909792196408	
F17	22.03942077788709	-102.27794985697113	
F18	22.027355893103906	-102.27952418565503	
F19	22.034427514371213	-102.27283002794172	
F20	22.034725511806503	-102.27062487717417	
