ID 	 X 	 Y	
F1	21.827791729000893	-102.31808196530095	
F2	21.740159609039264	-102.30484544384565	
F3	21.74765741678578	-102.28628148768713	
F4	21.77247203709979	-102.25952845499114	
F5	21.82112762376808	-102.28691490567788	
F6	21.73388170495753	-102.27319482316275	
F7	21.782415622388402	-102.29839809001744	
F8	21.774799187059614	-102.25647343431643	
F9	21.823933116148982	-102.30261365220932	
F10	21.74006107620669	-102.28941746105437	
F11	21.83400221170211	-102.31231327922964	
F12	22.03915252444827	-102.27151224942132	
F13	22.033839849214495	-102.27145397492912	
F14	22.032133700923453	-102.27871867935102	
F15	22.03997908268047	-102.26927033276687	
