ID 	 X 	 Y	
F1	21.771441432950354	-102.29046719254345	
F2	21.784222326757305	-102.27498848300299	
F3	21.755811143576718	-102.28261456758835	
F4	21.801622372390753	-102.29104245283148	
F5	21.81484964872495	-102.27778499787743	
F6	21.812047705948405	-102.26670836641675	
F7	21.81904614255329	-102.26397257196939	
F8	21.75093675977283	-102.28882504955571	
F9	21.735783802577185	-102.30113307496771	
F10	21.765589880088758	-102.29363210617053	
F11	21.78171236323158	-102.27922157760136	
F12	21.79024065976734	-102.3168398597528	
F13	21.7407769284496	-102.27036438375399	
F14	21.78490640028583	-102.29811384644614	
F15	22.03438107958265	-102.27546826059188	
F16	22.020471234181205	-102.27354360029804	
F17	22.046513332878888	-102.26768623651276	
F18	22.023558433567946	-102.27185303022934	
F19	22.026941923363825	-102.27471929530377	
F20	22.03646703165726	-102.27513782715897	
