ID 	 X 	 Y	
F1	21.77359118067756	-102.28222115349895	
F2	21.73420879670778	-102.29726434819051	
F3	21.819617413186457	-102.28259279346155	
F4	21.772616498767274	-102.31353977186672	
F5	21.792025705514483	-102.31125630035704	
F6	21.803085747059637	-102.29797830722785	
F7	21.801563945928393	-102.3085978536081	
F8	21.747595796594528	-102.26373751588926	
F9	21.814353512487013	-102.27053271287858	
F10	21.79919549264103	-102.26336894496428	
F11	21.83715437728772	-102.30848841261623	
F12	22.0200570552896	-102.28043115180996	
F13	22.040549020094886	-102.2703649456637	
F14	22.03453620968994	-102.2682319899704	
F15	22.033943131710057	-102.27159373549364	
