ID 	 X 	 Y	
F1	21.740621728099168	-102.29617743889564	
F2	21.73839251334144	-102.2871297071181	
F3	21.752938569609896	-102.31560768364128	
F4	21.73935817602714	-102.29147515001034	
F5	21.799399108525424	-102.27299755865656	
F6	21.780377701550982	-102.29216622889885	
F7	21.826068239086723	-102.2811161114198	
F8	21.76155604947291	-102.30617640362965	
F9	21.743385249458957	-102.26674137737983	
F10	21.7457803774216	-102.29277291633343	
F11	21.790202720866525	-102.32341187233888	
F12	22.03794191602922	-102.27623341012374	
F13	22.038256463171596	-102.27172882829652	
F14	22.024171272906376	-102.27990630450363	
F15	22.03240965196612	-102.2759720310847	
