ID 	 X 	 Y	
F1	21.77576253620618	-102.32214774850262	
F2	21.75391700923667	-102.27712918118245	
F3	21.83032719591921	-102.32397170514585	
F4	21.737412137185963	-102.30845998880059	
F5	21.834589461325002	-102.25655568728872	
F6	21.823667601841702	-102.26454191415401	
F7	21.80893207958017	-102.32336929690005	
F8	21.747249235872328	-102.26970335499809	
F9	21.746200519076087	-102.25710848185857	
F10	21.785070764622503	-102.32233160145643	
F11	21.77300228718556	-102.3173419232723	
F12	21.80598500512575	-102.28958516960871	
F13	21.795714682731003	-102.28881881954918	
F14	21.8334069030899	-102.26065090289666	
F15	22.045931196078417	-102.28198351747642	
F16	22.044984738139163	-102.27827011536527	
F17	22.029063172920655	-102.28163941877783	
F18	22.044961821854205	-102.27745392215779	
F19	22.037385195667763	-102.27991266607916	
F20	22.02613633782873	-102.27172445724311	
